DATE,US10Y
01/01/1962,3.946064257
01/01/1963,4.001566265
01/01/1964,4.18736
01/01/1965,4.283694779
01/01/1966,4.92504
01/01/1967,5.072650602
01/01/1968,5.64436
01/01/1969,6.672741935
01/01/1970,7.35432
01/01/1971,6.160883534
01/01/1972,6.20604
01/01/1973,6.848104839
01/01/1974,7.562409639
01/01/1975,7.993935743
01/01/1976,7.61272
01/01/1977,7.417630522
01/01/1978,8.408387097
01/01/1979,9.432943548
01/01/1980,11.43344
01/01/1981,13.92136546
01/01/1982,13.00550201
01/01/1983,11.103
01/01/1984,12.45811245
01/01/1985,10.61979839
01/01/1986,7.67284
01/01/1987,8.39268
01/01/1988,8.848
01/01/1989,8.49372
01/01/1990,8.5524
01/01/1991,7.86236
01/01/1992,7.008844622
01/01/1993,5.86628
01/01/1994,7.085180723
01/01/1995,6.57392
01/01/1996,6.443531746
01/01/1997,6.35396
01/01/1998,5.26288
01/01/1999,5.646135458
01/01/2000,6.030278884
01/01/2001,5.020685484
01/01/2002,4.61308
01/01/2003,4.01388
01/01/2004,4.27132
01/01/2005,4.28888
01/01/2006,4.795
01/01/2007,4.634661355
01/01/2008,3.664262948
01/01/2009,3.26412
01/01/2010,3.215059761
01/01/2011,2.78164
01/01/2012,1.80344
01/01/2013,2.35016
01/01/2014,2.53956
01/01/2015,2.138286853
01/01/2016,1.83744
01/01/2017,2.32948
01/01/2018,2.91124498
01/01/2019,2.1414
01/01/2020,0.889203187
01/01/2021,1.44685259
01/01/2022,2.950562249
