,DATE,TAVG
0,1870,53.8
1,1871,51.3
2,1872,51.3
3,1873,50.9
4,1874,51.3
5,1875,49.4
6,1876,51.9
7,1877,52.8
8,1878,53.6
9,1879,52.1
10,1880,52.9
11,1881,52.2
12,1882,51.7
13,1883,50.2
14,1884,52.2
15,1885,50.6
16,1886,51.3
17,1887,50.9
18,1888,49.4
19,1889,52.8
20,1890,53.0
21,1891,54.1
22,1892,52.2
23,1893,50.7
24,1894,52.9
25,1895,53.0
26,1896,53.6
27,1897,53.6
28,1898,55.1
29,1899,53.9
30,1900,54.2
31,1901,52.4
32,1902,53.0
33,1903,53.0
34,1904,50.9
35,1905,53.4
36,1906,55.0
37,1907,52.9
38,1908,55.0
39,1909,53.7
40,1910,53.5
41,1911,53.4
42,1912,52.7
43,1913,54.9
44,1914,51.9
45,1915,53.4
46,1916,52.2
47,1917,50.7
48,1918,53.1
49,1919,53.8
50,1920,52.2
51,1921,54.8
52,1922,53.5
53,1923,52.8
54,1924,51.9
55,1925,53.4
56,1926,51.2
57,1927,53.4
58,1928,53.5
59,1929,54.1
60,1930,54.5
61,1931,55.8
62,1932,55.1
63,1933,54.2
64,1934,52.9
65,1935,53.0
66,1936,53.4
67,1937,54.4
68,1938,55.2
69,1939,54.6
70,1940,51.9
71,1941,54.9
72,1942,54.0
73,1943,53.7
74,1944,54.6
75,1945,54.1
76,1946,55.3
77,1947,53.7
78,1948,54.0
79,1949,56.9
80,1950,53.6
81,1951,54.9
82,1952,55.8
83,1953,57.0
84,1954,54.9
85,1955,54.6
86,1956,53.5
87,1957,55.4
88,1958,52.5
89,1959,55.4
90,1960,54.0
91,1961,55.0
92,1962,53.4
93,1963,53.5
94,1964,54.5
95,1965,54.2
96,1966,55.0
97,1967,52.9
98,1968,54.0
99,1969,54.8
100,1970,54.2
101,1971,55.2
102,1972,53.8
103,1973,56.0
104,1974,54.7
105,1975,54.9
106,1976,53.3
107,1977,54.3
108,1978,52.9
109,1979,55.7
110,1980,54.9
111,1981,55.2
112,1982,54.8
113,1983,56.0
114,1984,55.4
115,1985,55.5
116,1986,55.2
117,1987,55.1
118,1988,54.8
119,1989,53.9
120,1990,57.2
121,1991,57.2
122,1992,53.9
123,1993,55.5
124,1994,55.2
125,1995,55.3
126,1996,53.7
127,1997,54.3
128,1998,57.1
129,1999,56.5
130,2000,53.8
131,2001,56.2
132,2002,56.4
133,2003,53.4
134,2004,54.5
135,2005,55.7
136,2006,56.8
137,2007,55.0
138,2008,55.3
139,2009,54.0
140,2010,56.7
141,2011,56.4
142,2012,57.3
143,2013,55.3
144,2014,54.4
145,2015,56.7
146,2016,57.2
